sentence,source,class
"stay away from this store, be careful.",amazon,negative
This BlueAnt Supertooth hands-free phone speaker is AWESOME.,amazon,positive
Does not fit.,amazon,negative
.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,amazon,positive
"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",amazon,positive
disappointing.,amazon,negative
Blue Ant is easy to use.,amazon,positive
Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,amazon,positive
The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,amazon,negative
Then a few days later the a puff of smoke came out of the phone while in use.,amazon,negative
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,amazon,positive
The nano stated it.My son was dissapointed.,amazon,negative
The sound quality is excellent as well.,amazon,positive
Its the best headset I have used.,amazon,positive
Would not reccommend.,amazon,negative
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,amazon,positive
Just what I wanted.,amazon,positive
This particular model would not work with my Motorola Q smartphone.,amazon,negative
wont work right or atleast for me.,amazon,negative
in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,amazon,negative
"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",amazon,negative
"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",amazon,negative
Great product.,amazon,positive
Crisp and Clear.,amazon,positive
AFter the first charge kept going dead after 12 minutes.,amazon,negative
"VERY cheap plastic, creaks like an old wooden floor.",amazon,negative
"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",amazon,negative
The reception has been generally good.,amazon,positive
"Excellent sound, battery life and inconspicuous to boot!.",amazon,positive
Great bluetooth!.,amazon,positive
I highly recommend this case.,amazon,positive
WORTHWHILE.,amazon,positive
This is a great deal.,amazon,positive
"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",amazon,negative
I am sorry I made this purchase.,amazon,negative
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,amazon,negative
Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,amazon,negative
It was horrible!.,amazon,negative
I don't think it would hold it too securly on your belt.,amazon,negative
This allows the possibility of double booking for the same date and time after the first.,amazon,negative
They work about 2 weeks then break.,amazon,negative
It is simple to use and I like it.,amazon,positive
"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",amazon,positive
I can't use this case because the smell is disgusting.,amazon,negative
NOT WHAT I WANTED.,amazon,negative
I own 2 of these cases and would order another.,amazon,positive
Great Phone.,amazon,positive
I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,amazon,positive
"The internet access was fine, it the rare instance that it worked.",amazon,negative
Perfect for the PS3.,amazon,positive
"Five star Plus, plus.",amazon,positive
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,amazon,positive
$50 Down the drain.,amazon,negative
I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,amazon,negative
"Good , works fine.",amazon,positive
For the price this was a great deal.,amazon,positive
"Great price, too!",amazon,positive
"If there is a wind, it is completely useless.",amazon,negative
Yes it's shiny on front side - and I love it!,amazon,positive
Does Not Work.,amazon,negative
"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",amazon,negative
The reception through this headset is excellent.,amazon,positive
2 thumbs up to this seller,amazon,positive
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",amazon,positive
Improper description.... I had to return it.,amazon,negative
#1 It Works - #2 It is Comfortable.,amazon,positive
Battery charge-life is quite long.,amazon,positive
The Jabra EarGels fit my ears very well.,amazon,positive
Battery has no life.,amazon,negative
I checked everywhere and there is no feature for it which is really disappointing.,amazon,negative
Product is exactly as described.,amazon,positive
Gets a signal when other Verizon phones won't.,amazon,positive
Doesn't do the job.,amazon,negative
I would recommend it.,amazon,positive
Plan on ordering from them again and again.,amazon,positive
"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",amazon,positive
I have been very satisfied with this cell phone from day one.,amazon,positive
They keep getting better and better (this is my third one and I've had numerous Palms too).,amazon,positive
Awkward to use and unreliable.,amazon,negative
The shipping time was also very quick!,amazon,positive
Not as good as I had hoped.,amazon,negative
Good case!.,amazon,positive
Doesn't Work.,amazon,negative
Really good product.,amazon,positive
Unfortunately it did not work.,amazon,negative
All three broke within two months of use.,amazon,negative
dont buy it.,amazon,negative
"My father has the V265, and the battery is dying.",amazon,negative
"However, the ear pads come off easily and after only one week I lost one.",amazon,negative
"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",amazon,negative
"Horrible, horrible protector.",amazon,negative
I don't like this Nokia either.,amazon,negative
"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",amazon,negative
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,amazon,negative
It would take too long to describe how bad my customer service experience has been with Amazon.,amazon,negative
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,amazon,negative
Terrible.. My car will not accept this cassette.,amazon,negative
"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",amazon,negative
It's not what it says it is.,amazon,negative
Stay Away From the Q!.,amazon,negative
Used and dirty.,amazon,negative
Very unreliable service from T-mobile !,amazon,negative
Not good enough for the price.,amazon,negative
I bought two of them and neither will charge.,amazon,negative
It looks very nice.,amazon,positive
"This is an excellent tool, especially when paired with your phone's auto-answer.",amazon,positive
I have read other's reviews here but I haven't had any problem with it.,amazon,positive
These products cover up the important light sensor above the ear outlet.,amazon,negative
Comfortable in my hand.,amazon,positive
Just does not work.,amazon,negative
Poor Reliability.,amazon,negative
(It works!),amazon,positive
"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",amazon,negative
"Terrible product, and waste of money!",amazon,negative
Last time buying from you.,amazon,negative
It was a waste of my money.,amazon,negative
So far it has worked like a charm.,amazon,positive
"I have only had it for a few weeks, but so far, so good.",amazon,positive
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",amazon,positive
Would recommend this item.,amazon,positive
It's been my choice headset for years.Great sound; good volume; good noise cancellation.,amazon,positive
"Nice case, feels good in your hands.",amazon,positive
The item received was Counterfeit.,amazon,negative
"Just really good.. So far, probably the best BT headset I have ever had.",amazon,positive
Works fine.,amazon,positive
I received my headset in good time and was happy with it.,amazon,positive
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,amazon,positive
My sister has one also and she loves it.,amazon,positive
Good Quality.,amazon,positive
This is by far the worst purchase I've made on Amazon.,amazon,negative
Excellent dual-purpose headset.,amazon,positive
Excellent!.,amazon,positive
Does not work for listening to music with the cingular 8125.,amazon,negative
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",amazon,positive
"The bottowm line...another worthless, cheap gimmick from Sprint.",amazon,negative
Having trouble with volume.,amazon,negative
The only good thing was that it fits comfortably on small ears.,amazon,positive
WARNING - DO NOT BUY!!.,amazon,negative
"I am pairing this with my iphone, and I could not be happier with it so far.",amazon,positive
"When it opens, the battery connection is broken and the device is turned off.",amazon,negative
"I didn't want the clip going over the top of my ear, causing discomfort.",amazon,negative
Best headset ever!!!.,amazon,positive
Don't trust their website and don't expect any helpful support.,amazon,negative
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,amazon,positive
The speaker is of low quality so as making the ring tones sound very cheap.,amazon,negative
"Fits comfortably, came with three sizes of earbud tips.",amazon,positive
Excellent product for the price.,amazon,positive
Bad Reception.,amazon,negative
This product is very High quality Chinese CRAP!!!!!!,amazon,negative
It was quite comfortable in the ear.,amazon,positive
Great phone.,amazon,positive
Don't buy this product - It fails!.,amazon,negative
Everything about this product is wrong.First,amazon,negative
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,amazon,positive
"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",amazon,negative
Terrible phone holder.,amazon,negative
The cutouts and buttons are placed perfectly.,amazon,positive
I love being able to use one headset for both by land-line and cell.,amazon,positive
Problem is that the ear loops are made of weak material and break easily.,amazon,negative
Not nearly as good looking as the AMAZON picture makes it look.,amazon,negative
"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",amazon,positive
How stupid is that?,amazon,negative
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",amazon,positive
Seller shipped quickly and much cheaper than the competitors.,amazon,positive
"Good show, Samsung.",amazon,positive
So I bought about 10 of these and saved alot of money.,amazon,positive
It always cuts out and makes a beep beep beep sound then says signal failed.,amazon,negative
Couldn't figure it out,amazon,negative
"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",amazon,negative
So I had to take the battery out of the phone put it all back together and then restart it.,amazon,negative
"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",amazon,negative
Leopard Print is wonderfully wild!.,amazon,positive
Works for me.,amazon,positive
"Saggy, floppy piece of junk.",amazon,negative
much better than the hard plastic cases.,amazon,positive
It also had a new problem.,amazon,negative
Happy so far!.,amazon,positive
cool phone.,amazon,positive
Works good.,amazon,positive
Motorola finally got the voice quality of a bluetooth headset right.,amazon,positive
It looses connection to the phone even when it is within a couple feet between the two.,amazon,negative
"but it is great, i would really recommend it",amazon,positive
Makes it easier to keep up with my bluetooth when I'm not wearing it.,amazon,negative
As I said above....PRETTY USELESS!,amazon,negative
Never got it!!!!!,amazon,negative
This pair of headphones is the worst that I have ever had sound-wise.,amazon,negative
[...] down the drain because of a weak snap!,amazon,negative
Does not charge the Cingular (ATT) 8525 phone.,amazon,negative
"You get extra minutes so that you can carry out the call and not get cut off.""",amazon,positive
"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",amazon,negative
I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,amazon,negative
The headset fulfills my requirements so I am happy with my purchase.,amazon,positive
Logitech Bluetooth Headset is a 10!.,amazon,positive
"I like the fact that it rests lightly against your ear, rather than inside.",amazon,positive
A lot of websites have been rating this a very good phone and so do I.,amazon,positive
I have tried these cables with my computer and my iPod and it works just fine.,amazon,positive
"The mic there is a joke, and the volume is quite low.",amazon,negative
I'm returning them.,amazon,negative
I does not maintain a connection with the computer while it is on my lap.,amazon,negative
It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,amazon,positive
I have had mine for about a year and this Christmas I bought some for the rest of the family.,amazon,positive
"Otherwise, easy to install and use, clear sound.",amazon,positive
nice leather.,amazon,positive
I had to purchase a different case.,amazon,negative
It is a joy to use.,amazon,positive
Very much disappointed with this company.,amazon,negative
Very satisifed with that.,amazon,positive
It didn't charge for me.,amazon,negative
This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,amazon,positive
Buttons are too small.,amazon,negative
Just reading on the specs alone makes you say WOW.,amazon,positive
Love it.. Great armband.,amazon,positive
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,amazon,positive
"However, the keypads are so tinny that I sometimes reach the wrong buttons.",amazon,negative
I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,amazon,positive
I was very impressed with the price of the cases.,amazon,positive
Also makes it easier to hold on to.,amazon,positive
"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",amazon,positive
It's pretty easy.,amazon,positive
I cannot make calls at certain places.,amazon,negative
"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",amazon,negative
Beautiful styling though.,amazon,positive
This company charge me a restocking fee and still not given me my refund back.,amazon,negative
I'm trying to return it for a refund.,amazon,negative
I plugged it in only to find out not a darn thing worked.,amazon,negative
Excellent product.,amazon,positive
Earbud piece breaks easily.,amazon,negative
Lousy product.,amazon,negative
This phone tries very hard to do everything but fails at it's very ability to be a phone.,amazon,negative
It is the best charger I have seen on the market yet.,amazon,positive
SWEETEST PHONE!!!,amazon,positive
":-)Oh, the charger seems to work fine.",amazon,positive
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,amazon,positive
Not enough volume.,amazon,negative
Echo Problem....Very unsatisfactory,amazon,negative
you could only take 2 videos at a time and the quality was very poor.,amazon,negative
don't waste your money.,amazon,negative
I am going to have to be the first to negatively review this product.,amazon,negative
Adapter does not provide enough charging current.,amazon,negative
"There was so much hype over this phone that I assumed it was the best, my mistake.",amazon,negative
You also cannot take pictures with it in the case because the lense is covered.,amazon,negative
Phone falls out easily.,amazon,negative
"It didn't work, people can not hear me when I talk.",amazon,negative
The text messaging feature is really tricky to use.,amazon,negative
I'm really disappointed all I have now is a charger that doesn't work.,amazon,negative
Painful on the ear.,amazon,negative
Lasted one day and then blew up.,amazon,negative
disappointed.,amazon,negative
Kind of flops around.,amazon,negative
The screen does get smudged easily because it touches your ear and face.,amazon,negative
What a piece of junk.. I lose more calls on this phone.,amazon,negative
Item Does Not Match Picture.,amazon,negative
The only thing that disappoint me is the infra red port (irda).,amazon,negative
"You can not answer calls with the unit, never worked once!",amazon,negative
"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",imdb,negative
"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",imdb,negative
"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",imdb,negative
Very little music or anything to speak of.  ,imdb,negative
The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,imdb,positive
"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",imdb,negative
Wasted two hours.  ,imdb,negative
"Saw the movie today and thought it was a good effort, good messages for kids.  ",imdb,positive
A bit predictable.  ,imdb,negative
Loved the casting of Jimmy Buffet as the science teacher.  ,imdb,positive
And those baby owls were adorable.  ,imdb,positive
"The movie showed a lot of Florida at it's best, made it look very appealing.  ",imdb,positive
The Songs Were The Best And The Muppets Were So Hilarious.  ,imdb,positive
It Was So Cool.  ,imdb,positive
"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",imdb,positive
"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",imdb,negative
"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",imdb,positive
"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",imdb,positive
"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.  ",imdb,positive
""" The structure of this film is easily the most tightly constructed in the history of cinema.  ",imdb,positive
I can think of no other film where something vitally important occurs every other minute.  ,imdb,positive
"In other words, the content level of this film is enough to easily fill a dozen other films.  ",imdb,positive
How can anyone in their right mind ask for anything more from a movie than this?  ,imdb,positive
"It's quite simply the highest, most superlative form of cinema imaginable.  ",imdb,positive
"Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  ",imdb,positive
This short film certainly pulls no punches.  ,imdb,negative
Graphics is far from the best part of the game.  ,imdb,negative
This is the number one best TH game in the series.  ,imdb,positive
It deserves strong love.  ,imdb,positive
It is an insane game.  ,imdb,positive
"There are massive levels, massive unlockable characters... it's just a massive game.  ",imdb,positive
Waste your money on this game.  ,imdb,positive
This is the kind of money that is wasted properly.  ,imdb,positive
"Actually, the graphics were good at the time.  ",imdb,positive
Today the graphics are crap.  ,imdb,negative
"As they say in Canada, This is the fun game, aye.  ",imdb,positive
This game rocks.  ,imdb,positive
"Buy it, play it, enjoy it, love it.  ",imdb,positive
It's PURE BRILLIANCE.  ,imdb,positive
This was a flick doomed from its conception.  ,imdb,negative
"The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  ",imdb,negative
I wasn't the least bit interested.  ,imdb,negative
"Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  ",imdb,negative
But it's just not funny.  ,imdb,negative
But even the talented Carrell can't save this.  ,imdb,negative
"His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  ",imdb,negative
The story itself is just predictable and lazy.  ,imdb,negative
"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  ",imdb,negative
"But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  ",imdb,negative
"The film succeeds despite, or perhaps because of, an obviously meagre budget.  ",imdb,positive
"I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  ",imdb,positive
"In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  ",imdb,positive
It's hard not to fall head-over-heels in love with that girl.  ,imdb,positive
"On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  ",imdb,negative
"Long, whiny and pointless.  ",imdb,negative
"But I recommend waiting for their future efforts, let this one go.  ",imdb,negative
"Excellent cast, story line, performances.  ",imdb,positive
Totally believable.  ,imdb,positive
Anne Heche was utterly convincing.  ,imdb,positive
Sam Shepard's portrayal of a gung ho Marine was sobering.  ,imdb,positive
I sat riveted to the TV screen.  ,imdb,positive
All in all I give this one a resounding 9 out of 10.  ,imdb,positive
I do think Tom Hanks is a good actor.  ,imdb,positive
I enjoyed reading this book to my children when they were little.  ,imdb,positive
I was very disappointed in the movie.  ,imdb,negative
One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  ,imdb,negative
There is a totally unnecessary train/roller coaster scene.  ,imdb,negative
There was absolutely no warmth or charm to these scenes or characters.  ,imdb,negative
This movie totally grates on my nerves.  ,imdb,negative
"The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  ",imdb,negative
"And, quite honestly, often its not very good.  ",imdb,negative
"Often the dialogue doesn't really follow from one line to another, or fit the surroundings.  ",imdb,negative
"It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  ",imdb,negative
There are some generally great things in it.  ,imdb,positive
"I wouldn't say they're worth 2 hours of your time, though.  ",imdb,negative
"The suspense builders were good, & just cross the line from G to PG.  ",imdb,positive
"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  ",imdb,positive
"If you want a movie that's not gross but gives you some chills, this is a great choice.  ",imdb,positive
Alexander Nevsky is a great film.  ,imdb,positive
"He is an amazing film artist, one of the most important whoever lived.  ",imdb,positive
"I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained ""movie business"" of Québec.  ",imdb,negative
This if the first movie I've given a 10 to in years.  ,imdb,positive
"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",imdb,positive
"Overall, the film is interesting and thought-provoking.  ",imdb,positive
"Plus, it was well-paced and suited its relatively short run time.  ",imdb,positive
Give this one a look.  ,imdb,positive
I gave it a 10  ,imdb,positive
The Wind and the Lion is well written and superbly acted.  ,imdb,positive
It is a true classic.  ,imdb,positive
It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,imdb,positive
Definitely worth checking out.  ,imdb,positive
The problem was the script.  ,imdb,negative
It was horrendous.  ,imdb,negative
There was NOTHING believable about it at all.  ,imdb,negative
The only suspense I was feeling was the frustration at just how retarded the girls were.  ,imdb,negative
MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,imdb,positive
The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,imdb,positive
The cast of veteran actors are more than just a nostalgia trip.  ,imdb,positive
Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,imdb,positive
"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",imdb,positive
I don't think you will be disappointed.  ,imdb,positive
"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",imdb,negative
"The acting was bad, the dialogs were extremely shallow and insincere.  ",imdb,negative
"It was too predictable, even for a chick flick.  ",imdb,negative
Too politically correct.  ,imdb,negative
Very disappointing.  ,imdb,negative
"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",imdb,positive
"I love Lane, but I've never seen her in a movie this lousy.  ",imdb,negative
An hour and a half I wish I could bring back.  ,imdb,negative
But in terms of the writing it's very fresh and bold.  ,imdb,positive
"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",imdb,positive
The directing and the cinematography aren't quite as good.  ,imdb,negative
"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",imdb,negative
"), and sometimes it was so embarrassing that I had to look away.  ",imdb,negative
The directing seems too pretentious.  ,imdb,negative
"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",imdb,negative
And generally the lines and plot is weaker than the average episode.  ,imdb,negative
"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",imdb,negative
"Some applause should be given to the ""prelude"" however.  ",imdb,positive
I really liked that.  ,imdb,positive
A great film by a great director.  ,imdb,positive
The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.  ,imdb,positive
The music in the film is really nice too.  ,imdb,positive
I'd advise anyone to go and see it.  ,imdb,positive
Brilliant!  ,imdb,positive
10/10  ,imdb,positive
I liked this movie way too much.  ,imdb,positive
My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ,imdb,negative
It rocked my world and is certainly a must see for anyone with no social or physical outlets.  ,imdb,positive
"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",imdb,negative
"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  ",imdb,negative
There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  ,imdb,negative
"This was a poor remake of ""My Best Friends Wedding"".  ",imdb,negative
"All in all, a great disappointment.  ",imdb,negative
"I cannot believe that the actors agreed to do this ""film"".  ",imdb,negative
I could not stand to even watch it for very long for fear of losing I.Q.  ,imdb,negative
I guess that nobody at the network that aired this dribble watched it before putting it on.  ,imdb,negative
"IMDB ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.  ",imdb,negative
"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.  ",imdb,negative
"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  ",imdb,negative
"These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.  ",imdb,negative
All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  ,imdb,negative
"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  ",imdb,negative
"You can't relate with them, hell you barely can understand them.  ",imdb,negative
This is definitely a cult classic well worth viewing and sharing with others.  ,imdb,positive
"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.  ",imdb,negative
The fish is badly made and some of its underwater shots are repeated a thousand times in the film.  ,imdb,negative
"A truly, truly bad film.  ",imdb,negative
"The acting is terrible, and the writing is worse.  ",imdb,negative
The only possible way this movie could be redeemed would be as MST3K fodder.  ,imdb,negative
I paid too much.  ,imdb,negative
"Also, it's a real treat to see Anthony Quinn playing Crazy Horse.  ",imdb,positive
It was so BORING!  ,imdb,negative
No plot whatsoever!  ,imdb,negative
"Again, no plot at all.  ",imdb,negative
Horrible!  ,imdb,negative
Worst hour and a half of my life!Oh my gosh!  ,imdb,negative
I had to walk out of the theatre for a few minutes just to get some relief!  ,imdb,negative
I hate movies like that.  ,imdb,negative
"Yeah, the movie pretty much sucked.  ",imdb,negative
THERE IS NO PLOT OR STORYLINE!!  ,imdb,negative
"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  ",imdb,negative
Awful.  ,imdb,negative
I don't think I've ever gone to a movie and disliked it as much.  ,imdb,negative
It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.  ,imdb,negative
NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).  ,imdb,negative
"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.  ",imdb,negative
"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  ",imdb,negative
"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  ",imdb,positive
Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ,imdb,negative
I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  ,imdb,negative
This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ,imdb,negative
I certainly do not mean this distinction in a good way.  ,imdb,negative
I mean this in a terrible way.  ,imdb,negative
This film has no redeeming features.  ,imdb,negative
Everything is appalling.  ,imdb,negative
"Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.  ",imdb,negative
The story is beyond stupid.  ,imdb,negative
The script iswas there a script?  ,imdb,negative
The kids are annoying.  ,imdb,negative
The lead man is charisma-free.  ,imdb,negative
"Utterly without merit on any level, this is akin to torture.  ",imdb,negative
I'll even say it again  this is torture.  ,imdb,negative
Maybe there would be a reasonable explanation for this atrocity.  ,imdb,negative
Not a pleasant voyage of self-discovery.  ,imdb,negative
Highly unrecommended.  ,imdb,negative
"If this premise sound stupid, that's because it is.  ",imdb,negative
"Yes, it's that bad.  ",imdb,negative
Nothing at all to recommend.  ,imdb,negative
An excellent performance from Ms.  ,imdb,positive
"Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.  ",imdb,positive
It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  ,imdb,positive
"This movie suffered because of the writing, it needed more suspense.  ",imdb,negative
There were too many close ups.  ,imdb,negative
But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ,imdb,negative
But this movie is definitely a below average rent.  ,imdb,negative
"""You'll love it!  ",imdb,positive
This movie is BAD.  ,imdb,negative
So bad.  ,imdb,negative
The film is way too long.  ,imdb,negative
This is definitely one of the bad ones.  ,imdb,negative
The movie I received was a great quality film for it's age.  ,imdb,positive
John Wayne did an incredible job for being so young in the movie industry.  ,imdb,positive
His on screen presence shined thought even though there were other senior actors on the screen with him.  ,imdb,positive
I think that it is a must see older John Wayne film.  ,imdb,positive
I really don't see how anyone could enjoy this movie.  ,imdb,negative
I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  ,imdb,negative
"It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  ",imdb,negative
"Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  ",imdb,negative
Jamie Foxx absolutely IS Ray Charles.  ,imdb,positive
His performance is simply genius.  ,imdb,positive
"He owns the film, just as Spacek owned ""Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.  ",imdb,positive
""" In fact, it's hard to remember that the part of Ray Charles is being acted, and not played by the man himself.  ",imdb,positive
Ray Charles is legendary.  ,imdb,positive
"Ray Charles' life provided excellent biographical material for the film, which goes well beyond being just another movie about a musician.  ",imdb,positive
Hitchcock is a great director.  ,imdb,positive
Ironically I mostly find his films a total waste of time to watch.  ,imdb,negative
"Secondly, Hitchcock pretty much perfected the thriller and chase movie.  ",imdb,positive
It's this pandering to the audience that sabotages most of his films.  ,imdb,negative
Hence the whole story lacks a certain energy.  ,imdb,negative
"The plot simply rumbles on like a machine, desperately depending on the addition of new scenes.  ",imdb,negative
There are the usual Hitchcock logic flaws.  ,imdb,negative
Mishima is extremely uninteresting.  ,imdb,negative
